environment,split,budget,alert_limit,silent_candidate,signal_candidate,calibration_feasible,heldout_both_feasible,metric,difference,ci_low,ci_high,seeds
ideal,test,0.0,0.34,,,False,False,harm,,,,200
ideal,test,0.0,0.34,,,False,False,containment,,,,200
ideal,test,0.0,0.34,,,False,False,benign_cost,,,,200
ideal,test,0.0,0.67,,,False,False,harm,,,,200
ideal,test,0.0,0.67,,,False,False,containment,,,,200
ideal,test,0.0,0.67,,,False,False,benign_cost,,,,200
ideal,test,1.0,0.34,,,False,False,harm,,,,200
ideal,test,1.0,0.34,,,False,False,containment,,,,200
ideal,test,1.0,0.34,,,False,False,benign_cost,,,,200
ideal,test,1.0,0.67,,,False,False,harm,,,,200
ideal,test,1.0,0.67,,,False,False,containment,,,,200
ideal,test,1.0,0.67,,,False,False,benign_cost,,,,200
ideal,test,3.0,0.34,t8_l1,t20_l1,True,True,harm,0.25,0.18125,0.3225,200
ideal,test,3.0,0.34,t8_l1,t20_l1,True,True,containment,-0.03125,-0.04253125000000001,-0.02,200
ideal,test,3.0,0.34,t8_l1,t20_l1,True,True,benign_cost,-0.026666666666666665,-0.06166666666666666,0.011666666666666669,200
ideal,test,3.0,0.67,t8_l1,t20_l1,True,True,harm,0.25,0.18125,0.3225,200
ideal,test,3.0,0.67,t8_l1,t20_l1,True,True,containment,-0.03125,-0.04253125000000001,-0.02,200
ideal,test,3.0,0.67,t8_l1,t20_l1,True,True,benign_cost,-0.026666666666666665,-0.06166666666666666,0.011666666666666669,200
ideal,test,6.0,0.34,t8_l0,t20_l0,True,True,harm,0.22125,0.14621874999999998,0.31378124999999996,200
ideal,test,6.0,0.34,t8_l0,t20_l0,True,True,containment,-0.0625,-0.08125,-0.045,200
ideal,test,6.0,0.34,t8_l0,t20_l0,True,True,benign_cost,-0.05499999999999999,-0.10833333333333332,3.885780586188048e-18,200
ideal,test,6.0,0.67,t5_l1,t12_l0,True,True,harm,0.25125,0.1875,0.32003125,200
ideal,test,6.0,0.67,t5_l1,t12_l0,True,True,containment,-0.08,-0.09625,-0.065,200
ideal,test,6.0,0.67,t5_l1,t12_l0,True,True,benign_cost,-0.16166666666666668,-0.40666666666666673,0.07341666666666666,200
ideal,test,12.0,0.34,t8_l0,t20_l0,True,True,harm,0.22125,0.14621874999999998,0.31378124999999996,200
ideal,test,12.0,0.34,t8_l0,t20_l0,True,True,containment,-0.0625,-0.08125,-0.045,200
ideal,test,12.0,0.34,t8_l0,t20_l0,True,True,benign_cost,-0.05499999999999999,-0.10833333333333332,3.885780586188048e-18,200
ideal,test,12.0,0.67,t5_l0,t5_l0,True,True,harm,0.0,0.0,0.0,200
ideal,test,12.0,0.67,t5_l0,t5_l0,True,True,containment,0.0,0.0,0.0,200
ideal,test,12.0,0.67,t5_l0,t5_l0,True,True,benign_cost,1.5166666666666666,1.3616249999999999,1.67,200
ideal,family_shift,0.0,0.34,,,False,False,harm,,,,200
ideal,family_shift,0.0,0.34,,,False,False,containment,,,,200
ideal,family_shift,0.0,0.34,,,False,False,benign_cost,,,,200
ideal,family_shift,0.0,0.67,,,False,False,harm,,,,200
ideal,family_shift,0.0,0.67,,,False,False,containment,,,,200
ideal,family_shift,0.0,0.67,,,False,False,benign_cost,,,,200
ideal,family_shift,1.0,0.34,,,False,False,harm,,,,200
ideal,family_shift,1.0,0.34,,,False,False,containment,,,,200
ideal,family_shift,1.0,0.34,,,False,False,benign_cost,,,,200
ideal,family_shift,1.0,0.67,,,False,False,harm,,,,200
ideal,family_shift,1.0,0.67,,,False,False,containment,,,,200
ideal,family_shift,1.0,0.67,,,False,False,benign_cost,,,,200
ideal,family_shift,3.0,0.34,t8_l1,t20_l1,True,False,harm,0.5725,0.4074999999999999,0.7575,200
ideal,family_shift,3.0,0.34,t8_l1,t20_l1,True,False,containment,-0.0525,-0.075,-0.0325,200
