environment,split,metric,difference,ci_low,ci_high,seeds
ideal,test,harm,-0.61375,-0.75375,-0.48496875,200
ideal,test,containment,0.09875,0.08,0.11749999999999998,200
ideal,test,benign_cost,3.8833333333333333,3.6249583333333333,4.138333333333333,200
ideal,family_shift,harm,-0.615,-0.79,-0.445,200
ideal,family_shift,containment,0.11,0.0825,0.14,200
ideal,family_shift,benign_cost,4.5525,4.2675,4.84,200
coverage_half,test,harm,-0.61375,-0.76,-0.4949375,200
coverage_half,test,containment,0.09875,0.08,0.11749999999999998,200
coverage_half,test,benign_cost,3.8833333333333333,3.62825,4.133333333333333,200
coverage_half,family_shift,harm,-0.615,-0.7825624999999999,-0.45,200
coverage_half,family_shift,containment,0.11,0.0825,0.14,200
coverage_half,family_shift,benign_cost,4.5525,4.26,4.8425,200
reliability_half,test,harm,-0.61375,-0.7437812500000001,-0.48875,200
reliability_half,test,containment,0.09875,0.08125,0.11625,200
reliability_half,test,benign_cost,3.8833333333333333,3.625,4.141708333333334,200
reliability_half,family_shift,harm,-0.615,-0.7975,-0.4525,200
reliability_half,family_shift,containment,0.11,0.085,0.1375,200
reliability_half,family_shift,benign_cost,4.5525,4.2724375000000006,4.8451249999999995,200
collateral_quarter,test,harm,-0.61375,-0.7425,-0.48871875000000004,200
collateral_quarter,test,containment,0.09875,0.08,0.11749999999999998,200
collateral_quarter,test,benign_cost,3.8833333333333333,3.6248750000000003,4.1433333333333335,200
collateral_quarter,family_shift,harm,-0.615,-0.7900625000000001,-0.45,200
collateral_quarter,family_shift,containment,0.11,0.0825,0.14,200
collateral_quarter,family_shift,benign_cost,4.5525,4.2574375,4.8525,200
collateral_one,test,harm,-0.61375,-0.75128125,-0.48999999999999994,200
collateral_one,test,containment,0.09875,0.08,0.11749999999999998,200
collateral_one,test,benign_cost,3.8833333333333333,3.631583333333334,4.140124999999999,200
collateral_one,family_shift,harm,-0.615,-0.7875,-0.45493750000000005,200
collateral_one,family_shift,containment,0.11,0.08,0.14,200
collateral_one,family_shift,benign_cost,4.5525,4.24,4.8425,200
background_empty,test,harm,-0.54625,-0.65625,-0.4462499999999999,200
background_empty,test,containment,0.0975,0.08,0.11625,200
background_empty,test,benign_cost,3.8183333333333334,3.568291666666666,4.063375,200
background_empty,family_shift,harm,-0.5675,-0.73,-0.42000000000000004,200
background_empty,family_shift,containment,0.11,0.0825,0.1375,200
background_empty,family_shift,benign_cost,4.5525,4.2674375,4.837562500000001,200
recognition_half,test,harm,-0.40875,-0.5350312500000001,-0.29746875,200
recognition_half,test,containment,0.04875,0.03375,0.065,200
recognition_half,test,benign_cost,4.291666666666667,4.036666666666667,4.56,200
recognition_half,family_shift,harm,-0.205,-0.3125,-0.11749999999999998,200
recognition_half,family_shift,containment,0.0175,0.005,0.03,200
recognition_half,family_shift,benign_cost,4.5525,4.245,4.845062499999999,200
patience_four,test,harm,-0.285,-0.395,-0.18625,200
patience_four,test,containment,0.03125,0.02125,0.04253125000000001,200
patience_four,test,benign_cost,4.398333333333333,4.139999999999999,4.653333333333333,200
patience_four,family_shift,harm,-0.0525,-0.075,-0.0325,200
patience_four,family_shift,containment,0.0,0.0,0.0,200
patience_four,family_shift,benign_cost,4.5525,4.2675,4.8250625,200
avoidance_half,test,harm,-0.7475,-0.9337500000000001,-0.57875,200
avoidance_half,test,containment,0.07625,0.05874999999999999,0.09375,200
avoidance_half,test,benign_cost,2.756666666666667,2.466625,3.028375,200
avoidance_half,family_shift,harm,-0.9175,-1.165,-0.665,200
avoidance_half,family_shift,containment,0.1025,0.075,0.1325,200
avoidance_half,family_shift,benign_cost,2.8825,2.5675,3.2125,200
avoidance_all,test,harm,0.0,0.0,0.0,200
avoidance_all,test,containment,0.0,0.0,0.0,200
avoidance_all,test,benign_cost,0.0,0.0,0.0,200
avoidance_all,family_shift,harm,0.0,0.0,0.0,200
avoidance_all,family_shift,containment,0.0,0.0,0.0,200
avoidance_all,family_shift,benign_cost,0.0,0.0,0.0,200
adaptive_avoidance,test,harm,-2.18875,-2.4262812499999997,-1.9399374999999999,200
adaptive_avoidance,test,containment,0.16625,0.1475,0.185,200
adaptive_avoidance,test,benign_cost,4.295,4.0166249999999994,4.566666666666666,200
adaptive_avoidance,family_shift,harm,-2.83,-3.17,-2.4599374999999997,200
adaptive_avoidance,family_shift,containment,0.2525,0.22000000000000003,0.285,200
adaptive_avoidance,family_shift,benign_cost,4.7725,4.4625,5.0675,200
combined,test,harm,-0.5575,-0.7238125,-0.4025,200
combined,test,containment,0.0475,0.03375,0.0625,200
combined,test,benign_cost,2.8783333333333334,2.586666666666667,3.183333333333333,200
combined,family_shift,harm,-0.4025,-0.595,-0.2424375,200
combined,family_shift,containment,0.03,0.015,0.0475,200
combined,family_shift,benign_cost,2.905,2.5874374999999996,3.2275625,200
