environment,budget,alert_limit,policy,candidate,split,calibration_feasible,heldout_feasible,harm,containment,benign_cost,disruption,false_alert,benign_collateral,attack_collateral
ideal,0.0,0.34,revoke,t12_l0,test,True,True,17.5,0.0,0.0,0.0,0.0,0.0,0.0
ideal,0.0,0.34,revoke,t12_l0,family_shift,True,False,9.5,0.0,3.5,3.5,0.5,0.0,0.0
ideal,0.0,0.34,deception_silent,,test,False,False,,,,,,,
ideal,0.0,0.34,deception_silent,,family_shift,False,False,,,,,,,
ideal,0.0,0.34,deception,,test,False,False,,,,,,,
ideal,0.0,0.34,deception,,family_shift,False,False,,,,,,,
ideal,0.0,0.34,isolate,t12_l0,test,True,True,4.0,1.0,0.0,0.0,0.0,0.0,0.0
ideal,0.0,0.34,isolate,t12_l0,family_shift,True,False,4.5,1.0,3.5,3.5,0.5,0.0,0.0
ideal,0.0,0.67,revoke,t12_l0,test,True,True,17.5,0.0,0.0,0.0,0.0,0.0,0.0
ideal,0.0,0.67,revoke,t12_l0,family_shift,True,False,9.5,0.0,3.5,3.5,0.5,0.0,0.0
ideal,0.0,0.67,deception_silent,,test,False,False,,,,,,,
ideal,0.0,0.67,deception_silent,,family_shift,False,False,,,,,,,
ideal,0.0,0.67,deception,,test,False,False,,,,,,,
ideal,0.0,0.67,deception,,family_shift,False,False,,,,,,,
ideal,0.0,0.67,isolate,t12_l0,test,True,True,4.0,1.0,0.0,0.0,0.0,0.0,0.0
ideal,0.0,0.67,isolate,t12_l0,family_shift,True,False,4.5,1.0,3.5,3.5,0.5,0.0,0.0
ideal,1.0,0.34,revoke,t12_l0,test,True,True,17.5,0.0,0.0,0.0,0.0,0.0,0.0
ideal,1.0,0.34,revoke,t12_l0,family_shift,True,False,9.5,0.0,3.5,3.5,0.5,0.0,0.0
ideal,1.0,0.34,deception_silent,,test,False,False,,,,,,,
ideal,1.0,0.34,deception_silent,,family_shift,False,False,,,,,,,
ideal,1.0,0.34,deception,,test,False,False,,,,,,,
ideal,1.0,0.34,deception,,family_shift,False,False,,,,,,,
