environment,candidate,policy,split,scenario,harmful_actions,contained,benign_cost,false_positive,disrupted_actions,collateral_disrupted_calls
ideal,t12_l0,deception,test,fast,2.38,0.675,0.0,0.0,0.0,0.0
ideal,t12_l0,deception,test,switcher,2.725,0.54,0.0,0.0,0.0,0.0
ideal,t12_l0,deception,test,slow,1.95,0.68,0.0,0.0,0.0,0.0
ideal,t12_l0,deception,test,avoider,23.0,0.0,0.0,0.0,0.0,0.0
ideal,t12_l0,deception,test,benign_build,0.0,0.0,0.0,0.0,0.0,0.0
ideal,t12_l0,deception,test,benign_admin,0.0,0.78,3.705,0.78,3.705,0.0
ideal,t12_l0,deception,test,benign_drill,0.0,0.93,12.745,0.93,12.745,0.0
ideal,t12_l0,deception,family_shift,patient,1.825,0.69,0.0,0.0,0.0,0.0
ideal,t12_l0,deception,family_shift,cycler,2.575,0.505,0.0,0.0,0.0,0.0
ideal,t12_l0,deception,family_shift,benign_burst,0.0,1.0,14.83,1.0,14.83,0.0
ideal,t12_l0,deception,family_shift,benign_recovery,0.0,0.99,12.515,0.99,12.515,0.0
ideal,t20_l0,deception,test,fast,3.025,0.55,0.0,0.0,0.0,0.0
ideal,t20_l0,deception,test,switcher,2.995,0.54,0.0,0.0,0.0,0.0
ideal,t20_l0,deception,test,slow,2.44,0.555,0.0,0.0,0.0,0.0
ideal,t20_l0,deception,test,avoider,23.0,0.0,0.0,0.0,0.0,0.0
ideal,t20_l0,deception,test,benign_build,0.0,0.0,0.0,0.0,0.0,0.0
ideal,t20_l0,deception,test,benign_admin,0.0,0.15,1.665,0.15,1.665,0.0
ideal,t20_l0,deception,test,benign_drill,0.0,0.765,8.09,0.765,8.09,0.0
ideal,t20_l0,deception,family_shift,patient,2.095,0.585,0.0,0.0,0.0,0.0
ideal,t20_l0,deception,family_shift,cycler,2.795,0.505,0.0,0.0,0.0,0.0
ideal,t20_l0,deception,family_shift,benign_burst,0.0,0.95,10.68,0.95,10.68,0.0
ideal,t20_l0,deception,family_shift,benign_recovery,0.0,0.905,7.68,0.905,7.68,0.0
ideal,t20_l1,deception,test,fast,3.635,0.55,0.0,0.0,0.0,0.0
ideal,t20_l1,deception,test,switcher,4.56,0.27,0.0,0.0,0.0,0.0
ideal,t20_l1,deception,test,slow,2.44,0.555,0.0,0.0,0.0,0.0
ideal,t20_l1,deception,test,avoider,23.0,0.0,0.0,0.0,0.0,0.0
ideal,t20_l1,deception,test,benign_build,0.0,0.0,0.0,0.0,0.0,0.0
ideal,t20_l1,deception,test,benign_admin,0.0,0.15,1.515,0.15,1.515,0.0
ideal,t20_l1,deception,test,benign_drill,0.0,0.765,7.27,0.765,7.27,0.0
ideal,t20_l1,deception,family_shift,patient,2.095,0.585,0.0,0.0,0.0,0.0
ideal,t20_l1,deception,family_shift,cycler,4.575,0.285,0.0,0.0,0.0,0.0
ideal,t20_l1,deception,family_shift,benign_burst,0.0,0.95,9.76,0.95,9.76,0.0
ideal,t20_l1,deception,family_shift,benign_recovery,0.0,0.905,6.775,0.905,6.775,0.0
ideal,t5_l0,deception,test,fast,0.83,1.0,0.0,0.0,0.0,0.0
ideal,t5_l0,deception,test,switcher,2.725,0.54,0.0,0.0,0.0,0.0
ideal,t5_l0,deception,test,slow,0.82,1.0,0.0,0.0,0.0,0.0
ideal,t5_l0,deception,test,avoider,2.0,1.0,0.0,0.0,0.0,0.0
ideal,t5_l0,deception,test,benign_build,0.0,0.0,0.0,0.0,0.0,0.0
ideal,t5_l0,deception,test,benign_admin,0.0,1.0,9.295,1.0,9.295,0.0
ideal,t5_l0,deception,test,benign_drill,0.0,1.0,15.83,1.0,15.83,0.0
