environment,candidate,split,collateral_disrupted_calls,benign_cost,scenario,policy,seed,malicious,detection_step,response_step,containment_step,detection_time_capped,containment_time_capped,detected,contained,harmful_actions,exfil_actions,post_detection_harm,decoy_actions,alert_events,false_positive,false_containment,disrupted_actions,persistence_survived,evidence_completeness
patience_four,t3_l0,calibration,0.0,0.0,fast,revoke,0,True,3,3,3,3,3,True,True,2,1,0,0,22,False,False,0,False,1.0
patience_four,t3_l0,calibration,0.0,0.0,switcher,revoke,0,True,3,3,,3,25,True,False,16,8,14,0,22,False,False,0,True,1.0
patience_four,t3_l0,calibration,0.0,0.0,slow,revoke,0,True,6,6,6,6,6,True,True,2,1,0,0,19,False,False,0,False,1.0
patience_four,t3_l0,calibration,0.0,0.0,avoider,revoke,0,True,3,3,3,3,3,True,True,2,1,0,0,22,False,False,0,False,1.0
patience_four,t3_l0,calibration,0.0,0.0,benign_build,revoke,0,False,,,,25,25,False,False,0,0,0,0,0,False,False,0,False,1.0
patience_four,t3_l0,calibration,0.0,13.0,benign_admin,revoke,0,False,3,3,3,3,3,True,True,0,0,0,0,15,True,True,13,False,1.0
patience_four,t3_l0,calibration,0.0,14.0,benign_drill,revoke,0,False,5,5,5,5,5,True,True,0,0,0,0,19,True,True,14,False,1.0
patience_four,t3_l0,calibration,0.0,0.0,fast,revoke,1,True,3,3,3,3,3,True,True,2,1,0,0,22,False,False,0,False,1.0
patience_four,t3_l0,calibration,0.0,0.0,switcher,revoke,1,True,3,3,,3,25,True,False,16,8,14,0,22,False,False,0,True,1.0
patience_four,t3_l0,calibration,0.0,0.0,slow,revoke,1,True,6,6,6,6,6,True,True,2,1,0,0,19,False,False,0,False,1.0
patience_four,t3_l0,calibration,0.0,0.0,avoider,revoke,1,True,3,3,3,3,3,True,True,2,1,0,0,22,False,False,0,False,1.0
patience_four,t3_l0,calibration,0.0,0.0,benign_build,revoke,1,False,,,,25,25,False,False,0,0,0,0,0,False,False,0,False,1.0
patience_four,t3_l0,calibration,0.0,13.0,benign_admin,revoke,1,False,3,3,3,3,3,True,True,0,0,0,0,15,True,True,13,False,1.0
